,City,Date,Time,Wind,Humidity,Weather,PM2.5,PM10,O₃,NO₂,SO₂,CO,AQI
13,Karachi,06 December 2024,20:00,7.4 km/h,33%,21°,64.0,,,,,, 157 
14,Almaty,06 December 2024,20:00,10.8 km/h,93%,-3°,61.7,43.0,,81.3,22.9,"1,922.4", 155 
15,Mumbai,06 December 2024,20:30,9.3 km/h,61%,29°,58.5,133.7,23.3,22.9,11.6,620.0, 153 
16,Tashkent,06 December 2024,20:00,7.4 km/h,80%,1°,56.5,,10.0,40.0,4.0,, 152 
17,Ulaanbaatar,06 December 2024,23:00,3.6 km/h,69%,-26°,55.0,85.0,,53.5,60.0,"1,506.1", 149 
18,Wuhan,06 December 2024,23:00,13.9 km/h,37%,10°,53.0,54.5,20.0,22.0,3.0,"7,000.0", 144 
19,Kinshasa,06 December 2024,16:00,7.6 km/h,65%,28°,50.0,,,,,, 137 
20,Guangzhou,06 December 2024,23:00,11.2 km/h,57%,20°,50.0,66.0,53.0,28.0,6.0,882.5, 137 
21,Istanbul,06 December 2024,18:00,0.5 km/h,62%,12°,48.0,47.5,17.6,73.0,11.1,883.7, 132 
22,Baghdad,06 December 2024,18:00,9.3 km/h,47%,14°,46.0,,,,,, 127 
23,Shenzhen,06 December 2024,23:00,8.7 km/h,77%,18°,44.5,66.0,56.0,36.5,6.5,800.0, 123 
24,Hong Kong,06 December 2024,23:00,12.9 km/h,72%,20°,34.5,50.0,41.5,71.1,2.5,824.3, 98 
25,Kuwait City,06 December 2024,18:00,11.1 km/h,44%,20°,41.5,,,,,, 116 
26,Jakarta,06 December 2024,22:00,1.8 km/h,84%,26°,38.8,,6.0,,,, 109 
27,Manama,06 December 2024,18:00,13 km/h,70%,23°,37.5,,,,,, 106 
28,Bogota,06 December 2024,10:00,3.7 km/h,82%,14°,37.7,54.9,10.9,,,, 106 
29,Doha,06 December 2024,18:00,7.4 km/h,53%,24°,37.0,,60.0,,,, 105 
30,Skopje,06 December 2024,16:00,4.6 km/h,86%,9°,36.0,39.6,5.4,27.2,3.6,, 102 
31,Lima,06 December 2024,10:00,13 km/h,82%,17°,35.9,64.9,4.0,21.4,19.8,2.0, 102 
32,Kampala,06 December 2024,17:00,3.2 km/h,58%,23°,34.5,4.1,35.1,11.7,0.6,, 98 
33,Tel Aviv-Yafo,06 December 2024,17:00,13 km/h,39%,22°,35.9,124.0,189.0,55.1,23.1,"1,087.8", 102 
34,Yangon,06 December 2024,21:30,5.5 km/h,83%,26°,33.5,,,,,, 96 
35,Medan,06 December 2024,22:00,18.5 km/h,32%,27°,32.2,36.7,153.4,46.9,31.4,, 94 
36,Kabul,06 December 2024,19:30,1.9 km/h,27%,4°,32.0,,,,,, 93 
37,Milano,06 December 2024,16:00,13 km/h,76%,7°,31.5,66.4,5.0,50.6,5.9,900.0, 93 
38,Jerusalem,06 December 2024,17:00,4.8 km/h,44%,16°,30.1,,184.6,55.5,,, 90 
39,Salt Lake City,06 December 2024,08:00,9.3 km/h,82%,0°,29.5,34.0,1.0,59.9,3.9,858.8, 89 
40,Chongqing,06 December 2024,23:00,3.8 km/h,93%,6°,30.0,43.0,12.0,29.0,7.0,600.0, 90 
41,Baku,06 December 2024,19:00,7.4 km/h,93%,9°,29.2,,,,,, 88 
42,Kaohsiung,06 December 2024,23:00,9.3 km/h,78%,21°,27.5,62.0,44.0,30.1,5.4,446.6, 85 
43,Accra,06 December 2024,15:00,18.5 km/h,66%,31°,26.8,,,,,, 84 
44,Chiang Mai,06 December 2024,22:00,7.4 km/h,69%,26°,27.0,54.4,,,,, 84 
45,Bangkok,06 December 2024,22:00,4.3 km/h,50%,27°,26.9,75.0,38.0,99.6,,, 84 
46,Zagreb,06 December 2024,16:00,9.3 km/h,81%,3°,25.7,50.8,11.0,48.5,6.1,577.0, 82 
47,Dakar,06 December 2024,15:00,18.5 km/h,78%,28°,25.0,8.3,,,,, 81 
48,Chengdu,06 December 2024,23:00,10.8 km/h,62%,9°,25.0,43.0,37.0,30.0,4.0,400.0, 81 
49,Madrid,06 December 2024,16:00,5.5 km/h,60%,16°,25.0,37.0,23.5,55.0,4.0,, 81 
50,Riyadh,06 December 2024,18:00,6.8 km/h,30%,25°,24.0,,,,,, 79 
51,Budapest,06 December 2024,16:00,7.4 km/h,95%,0°,23.5,34.0,4.7,32.9,8.4,840.5, 78 
52,Batam,06 December 2024,22:00,9.3 km/h,84%,29°,21.5,21.8,127.2,47.9,1.9,, 74 
53,Kuala Lumpur,06 December 2024,23:00,0 km/h,74%,28°,21.5,,,,,, 74 
54,Warsaw,06 December 2024,16:00,18.5 km/h,82%,2°,21.4,29.9,20.0,28.6,2.4,252.0, 74 
55,Manila,06 December 2024,23:00,3.2 km/h,80%,27°,20.5,,,,,, 72 
56,Bratislava,06 December 2024,16:00,3.7 km/h,96%,0°,18.8,30.0,11.6,33.5,4.0,376.8, 69 
57,Kyiv,06 December 2024,17:00,1.6 km/h,73%,1°,18.1,21.5,,,,, 68 
58,Los Angeles,06 December 2024,07:00,1.6 km/h,34%,16°,18.0,0.0,0.0,54.5,,, 68 
59,Ljubljana,06 December 2024,16:00,7.4 km/h,80%,3°,17.0,30.0,29.1,33.0,,250.1, 66 
60,Krasnoyarsk,06 December 2024,22:00,5.7 km/h,97%,-8°,16.1,,,45.0,9.5,400.0, 64 
61,Nairobi,06 December 2024,18:00,21.9 km/h,67%,20°,15.0,12.8,,,,52.4, 62 
62,Phnom Penh,06 December 2024,22:00,5.5 km/h,79%,29°,14.0,,,,,, 60 
63,Belgrade,06 December 2024,16:00,4.9 km/h,77%,7°,13.7,22.3,30.5,25.0,9.6,590.0, 59 
64,Santiago,06 December 2024,12:00,14.8 km/h,44%,19°,13.0,48.0,58.0,15.8,4.2,383.6, 58 
65,Vienna,06 December 2024,16:00,32.2 km/h,77%,7°,13.0,18.0,53.5,22.5,2.0,300.0, 58 
66,Copenhagen,06 December 2024,16:00,18.5 km/h,86%,4°,12.5,17.8,32.7,23.7,1.1,0.3, 57 
67,Oslo,06 December 2024,16:00,3.2 km/h,85%,2°,12.3,17.6,24.1,26.6,0.5,275.1, 57 
68,Singapore,06 December 2024,23:00,11.1 km/h,84%,28°,11.5,25.0,42.0,16.0,5.0,400.0, 55 
69,Bucharest,06 December 2024,17:00,11.1 km/h,96%,2°,11.4,16.7,6.2,39.0,6.9,, 55 
70,Ho Chi Minh City,06 December 2024,22:00,7.4 km/h,79%,28°,11.0,,,,,, 55 
71,Athens,06 December 2024,17:00,4.8 km/h,85%,15°,11.5,21.0,13.0,61.5,8.0,, 55 
72,Kraków,06 December 2024,16:00,5.5 km/h,63%,2°,10.8,15.8,,44.4,3.0,139.0, 54 
73,Paris,06 December 2024,16:00,18.5 km/h,69%,10°,10.7,25.4,51.0,21.9,,, 54 
74,Sofia,06 December 2024,17:00,25.9 km/h,87%,3°,10.6,20.3,25.2,30.0,10.5,0.7, 54 
75,Busan,07 December 2024,00:00,7.4 km/h,52%,2°,10.5,18.0,59.0,16.9,7.9,343.5, 54 
76,Lyon,06 December 2024,16:00,5.5 km/h,70%,10°,10.1,37.5,42.5,40.4,2.2,0.2, 53 
77,Moscow,06 December 2024,18:00,17.7 km/h,57%,-4°,10.3,,,,,, 53 
78,Berlin,06 December 2024,16:00,9.3 km/h,93%,6°,10.0,17.7,3.0,48.0,,0.0, 53 
79,Incheon,06 December 2024,23:00,11.1 km/h,74%,-2°,9.5,21.5,51.3,24.0,8.4,463.7, 52 
80,Rotterdam,06 December 2024,15:00,20.4 km/h,77%,9°,9.2,22.7,52.5,15.0,,, 51 
81,Pristina,06 December 2024,16:00,14.8 km/h,81%,8°,9.1,16.6,14.7,48.7,11.5,700.0, 50 
82,Barcelona,06 December 2024,16:00,16.7 km/h,60%,17°,11.0,17.0,33.0,18.0,1.0,200.0, 55 
83,Kuching,06 December 2024,23:00,0 km/h,94%,27°,8.5,,,,,, 47 
84,Taipei,06 December 2024,23:00,20.4 km/h,59%,20°,8.5,19.5,75.0,18.8,3.0,274.8, 47 
85,Rome,06 December 2024,16:00,9.3 km/h,52%,12°,8.4,,23.5,35.0,0.5,0.9, 47 
86,Johannesburg,06 December 2024,17:00,9.3 km/h,22%,32°,4.0,49.1,,,,, 45 
87,Amsterdam,06 December 2024,16:00,22.2 km/h,77%,9°,8.1,19.5,63.5,21.7,,297.2, 45 
88,Sao Paulo,06 December 2024,12:00,20.4 km/h,59%,29°,8.0,29.0,76.0,19.0,1.0,458.0, 44 
89,Addis Ababa,06 December 2024,18:00,18.5 km/h,24%,19°,8.0,,,,,, 44 
90,Seoul,07 December 2024,00:00,9.3 km/h,74%,-2°,8.0,20.0,52.6,24.4,6.6,412.2, 44 
91,Wrocław,06 December 2024,16:00,11.1 km/h,92%,2°,7.9,16.4,19.5,39.3,12.1,515.0, 43 
92,San Francisco,06 December 2024,07:00,8.1 km/h,86%,11°,7.8,,14.0,,,, 43 
93,Birmingham,06 December 2024,15:00,11.1 km/h,84%,6°,7.2,18.5,38.5,21.8,0.7,, 39 
94,Nice,06 December 2024,16:00,22.2 km/h,77%,13°,7.3,14.0,61.0,18.6,,, 41 
95,Houston,06 December 2024,09:00,27.8 km/h,56%,6°,3.9,43.9,38.0,9.4,0.0,171.8, 40 
96,Seattle,06 December 2024,07:00,0 km/h,88%,2°,7.2,16.3,3.4,29.7,0.3,326.9, 40 
97,Kyoto,07 December 2024,00:00,5.9 km/h,82%,6°,7.0,9.0,,30.1,2.6,343.5, 39 
98,Washington D.C.,06 December 2024,10:00,27.8 km/h,54%,0°,7.0,9.0,50.0,8.8,,229.0, 39 
99,Vancouver,06 December 2024,07:00,9.3 km/h,96%,6°,7.1,,1.7,,1.9,, 39 
100,Stockholm,06 December 2024,16:00,13 km/h,94%,2°,6.7,9.5,30.7,11.6,,, 37 
101,Denver,06 December 2024,08:00,1.6 km/h,43%,3°,3.7,30.5,23.0,73.3,3.9,458.0, 37 
102,Algiers,06 December 2024,16:00,16.7 km/h,52%,18°,6.5,,,,,, 36 
103,Portland,06 December 2024,07:00,17.7 km/h,82%,2°,6.3,10.1,15.0,19.9,1.3,286.3, 35 
104,Munich,06 December 2024,16:00,9.6 km/h,72%,6°,6.0,8.5,63.0,12.0,,, 33 
105,Osaka,07 December 2024,00:00,3.7 km/h,49%,8°,5.5,7.5,,15.0,9.2,458.0, 31 
106,Kobe,07 December 2024,00:00,18.9 km/h,54%,8°,6.0,6.0,,13.2,0.0,343.5, 33 
107,Chicago,06 December 2024,09:00,19.3 km/h,69%,-6°,6.1,,,,,, 33 
108,Brussels,06 December 2024,16:00,18.5 km/h,74%,8°,5.8,15.5,59.0,12.0,,, 32 
109,Minneapolis,06 December 2024,09:00,20.4 km/h,65%,-4°,4.3,35.0,,,,, 32 
110,Bern,06 December 2024,16:00,19.3 km/h,62%,8°,5.0,6.3,66.0,24.0,,, 28 
111,Beijing,06 December 2024,23:00,14.4 km/h,46%,-3°,5.0,12.0,51.0,7.0,3.0,200.0, 28 
112,Tokyo,07 December 2024,00:00,3.7 km/h,46%,10°,4.0,6.0,,50.8,0.0,458.0, 25 
113,London,06 December 2024,15:00,13 km/h,69%,9°,5.0,22.0,35.3,24.2,,, 28 
