,City,Date,Time,Wind,Humidity,Weather,PM2.5,PM10,O₃,NO₂,SO₂,CO,AQI
27,Manila,10 December 2024,06:00,3.7 km/h,86%,26°,36.2,,,,,, 103 
28,Yangon,10 December 2024,04:30,3.7 km/h,88%,24°,36.0,,,,,, 102 
29,Accra,09 December 2024,22:00,13 km/h,83%,28°,36.0,,,,,, 102 
30,Riyadh,10 December 2024,01:00,22.6 km/h,37%,17°,33.0,,,,,, 96 
31,Baghdad,10 December 2024,01:00,5.5 km/h,66%,10°,32.0,,,,,, 94 
32,Tel Aviv-Yafo,10 December 2024,00:00,1.8 km/h,65%,13°,34.0,63.8,116.8,113.7,7.1,"1,087.8", 97 
33,Almaty,10 December 2024,03:00,7.2 km/h,85%,-11°,32.0,19.7,,113.2,24.2,652.3, 93 
34,Los Angeles,09 December 2024,14:00,1.6 km/h,56%,19°,31.3,0.0,60.0,36.5,,, 92 
35,Chiang Mai,10 December 2024,05:00,3.7 km/h,94%,20°,30.6,46.5,,,,, 91 
36,Chongqing,10 December 2024,06:00,3 km/h,92%,2°,30.0,40.0,31.0,17.5,7.0,500.0, 90 
37,Belgrade,09 December 2024,23:00,5.5 km/h,86%,5°,29.6,43.9,19.2,31.3,11.0,570.0, 89 
38,Chengdu,10 December 2024,06:00,7.2 km/h,93%,5°,28.0,38.0,38.0,18.0,3.0,400.0, 86 
39,Shenzhen,10 December 2024,06:00,7.7 km/h,80%,18°,26.0,48.0,38.0,34.0,7.0,700.0, 82 
40,Dakar,09 December 2024,22:00,11.1 km/h,69%,25°,24.0,4.6,,,,, 79 
41,Incheon,10 December 2024,07:00,3.7 km/h,100%,-6°,24.0,38.0,7.2,82.0,10.2,864.5, 79 
42,Seoul,10 December 2024,07:00,1.8 km/h,100%,-6°,24.0,37.0,4.2,74.5,7.3,870.2, 79 
43,Hong Kong,10 December 2024,06:00,14.5 km/h,76%,19°,23.0,35.2,82.4,18.9,2.6,566.1, 77 
44,Dubai,10 December 2024,02:00,7.4 km/h,60%,21°,22.5,26.3,40.0,,,, 76 
45,Baku,10 December 2024,02:00,18.5 km/h,70%,6°,22.0,,,,,, 75 
46,Ho Chi Minh City,10 December 2024,05:00,7.4 km/h,75%,24°,20.5,,,,,, 72 
47,Istanbul,10 December 2024,01:00,7.4 km/h,95%,11°,20.3,19.2,8.9,73.6,3.5,"1,355.5", 72 
48,Nice,09 December 2024,23:00,13 km/h,76%,8°,17.3,22.2,14.5,17.3,,, 66 
49,Budapest,09 December 2024,23:00,5.5 km/h,95%,4°,19.4,26.5,3.0,31.8,8.9,919.0, 70 
50,Ljubljana,09 December 2024,23:00,1.8 km/h,92%,2°,18.4,22.5,17.6,20.1,,200.2, 68 
51,Bern,09 December 2024,23:00,24.2 km/h,79%,2°,17.4,18.5,31.0,14.0,,, 66 
52,Busan,10 December 2024,07:00,1.8 km/h,80%,-1°,17.0,25.0,36.0,33.8,7.9,400.8, 66 
53,Shanghai,10 December 2024,06:00,10.8 km/h,62%,9°,17.0,28.0,47.0,38.0,6.0,445.0, 66 
54,Milano,09 December 2024,23:00,5.5 km/h,91%,5°,16.3,51.7,7.8,55.7,4.1,, 64 
55,Kaohsiung,10 December 2024,06:00,13 km/h,82%,18°,16.0,36.0,22.0,30.1,6.3,360.7, 64 
56,Nairobi,10 December 2024,01:00,11.4 km/h,91%,16°,16.0,8.9,,,,55.9, 64 
57,Vienna,09 December 2024,23:00,13 km/h,91%,2°,15.0,17.0,7.5,17.0,1.0,350.0, 62 
58,Beijing,10 December 2024,06:00,10.8 km/h,63%,-4°,14.0,26.0,9.0,45.0,3.0,400.0, 60 
59,Zagreb,09 December 2024,23:00,7.4 km/h,93%,2°,15.8,27.1,23.3,29.4,6.7,407.0, 63 
60,Houston,09 December 2024,16:00,11.1 km/h,80%,23°,13.4,60.9,56.0,8.8,0.0,515.3, 59 
61,Phnom Penh,10 December 2024,05:00,7.4 km/h,100%,25°,13.0,,,,,, 58 
62,Jerusalem,10 December 2024,00:00,3.2 km/h,58%,12°,13.0,,130.8,61.9,,, 58 
63,Sofia,10 December 2024,00:00,5.5 km/h,100%,2°,12.6,57.6,3.2,56.8,8.2,0.8, 58 
64,Krasnoyarsk,10 December 2024,05:00,7.7 km/h,95%,-18°,14.0,,,38.5,6.5,450.0, 60 
65,Bratislava,09 December 2024,23:00,5.5 km/h,94%,3°,10.9,15.0,7.9,17.0,4.0,0.5, 54 
66,Lima,09 December 2024,17:00,22.2 km/h,71%,23°,11.8,22.7,5.1,8.4,28.4,143.9, 56 
67,Addis Ababa,10 December 2024,01:00,1.7 km/h,48%,11°,17.6,,,,,, 67 
68,Munich,09 December 2024,23:00,3.2 km/h,95%,0°,11.5,15.0,28.5,13.0,,, 55 
69,Warsaw,09 December 2024,23:00,16.7 km/h,94%,0°,10.9,15.7,25.3,12.1,0.9,187.0, 54 
70,Berlin,09 December 2024,23:00,17.7 km/h,92%,4°,11.0,17.0,27.0,7.0,,0.0, 54 
71,Wrocław,09 December 2024,23:00,11.1 km/h,97%,2°,12.4,13.6,16.0,10.4,7.5,357.5, 57 
72,Kyiv,10 December 2024,00:00,1.6 km/h,80%,1°,10.4,7.9,,,,, 53 
73,Detroit,09 December 2024,17:00,18.5 km/h,81%,10°,10.3,,,24.4,2.6,343.5, 53 
74,New York City,09 December 2024,17:00,24.1 km/h,93%,9°,10.4,,18.0,54.6,1.3,318.2, 53 
75,Batam,10 December 2024,05:00,11.1 km/h,78%,26°,9.0,9.1,126.6,47.5,1.2,, 52 
76,Moscow,10 December 2024,01:00,6.3 km/h,98%,-2°,9.5,,,,,, 52 
77,Kraków,09 December 2024,23:00,14.8 km/h,77%,1°,10.0,12.2,,13.1,2.2,234.5, 53 
78,Barcelona,09 December 2024,23:00,11.1 km/h,63%,9°,9.0,15.0,19.5,44.0,1.0,500.0, 50 
79,Washington D.C.,09 December 2024,17:00,20.4 km/h,80%,13°,8.8,14.0,32.0,19.7,,343.5, 49 
80,Johannesburg,10 December 2024,00:00,0 km/h,71%,19°,8.0,63.1,,,,, 55 
81,Lyon,09 December 2024,23:00,16.7 km/h,82%,4°,8.2,11.2,28.8,11.3,9.9,0.2, 46 
82,Medan,10 December 2024,05:00,7.4 km/h,100%,24°,8.0,,,,,, 44 
83,Paris,09 December 2024,23:00,25.9 km/h,88%,5°,8.0,11.1,9.9,24.3,,, 44 
84,Jakarta,10 December 2024,05:00,18.5 km/h,79%,27°,8.0,,10.0,,,, 44 
85,Dublin,09 December 2024,22:00,20.4 km/h,80%,7°,8.8,16.2,30.8,30.2,2.0,, 48 
86,Amsterdam,09 December 2024,23:00,29.6 km/h,76%,5°,5.0,7.4,38.9,5.7,,323.7, 28 
87,Sydney,10 December 2024,09:00,20.4 km/h,78%,22°,7.4,22.2,0.0,0.0,0.0,206.2, 41 
88,Birmingham,09 December 2024,22:00,20.4 km/h,90%,5°,5.9,10.5,55.2,10.5,0.8,, 32 
89,Bucharest,10 December 2024,00:00,14.8 km/h,90%,6°,7.0,9.9,15.9,18.0,6.4,, 39 
90,Rome,09 December 2024,23:00,13 km/h,86%,8°,6.9,,5.0,54.0,1.5,1.4, 38 
91,London,09 December 2024,22:00,25.9 km/h,80%,7°,9.0,15.0,49.6,15.0,,, 50 
92,Lisbon,09 December 2024,22:00,16.7 km/h,75%,9°,6.7,6.9,59.0,21.0,3.0,189.0, 37 
93,Algiers,09 December 2024,23:00,13 km/h,58%,10°,6.5,,,,,, 36 
94,Santiago,09 December 2024,19:00,25.9 km/h,26%,27°,4.5,51.0,84.0,15.0,6.9,274.8, 47 
95,Osaka,10 December 2024,07:00,3.7 km/h,87%,2°,6.0,10.5,,42.3,7.9,343.5, 33 
96,Prague,09 December 2024,23:00,16.7 km/h,91%,3°,6.0,10.1,2.3,17.6,4.3,453.2, 33 
97,Kyoto,10 December 2024,07:00,4.5 km/h,93%,3°,6.0,6.0,,20.7,0.0,343.5, 33 
98,Athens,10 December 2024,00:00,46.3 km/h,82%,17°,3.9,34.0,23.0,22.0,9.0,, 31 
99,Taipei,10 December 2024,06:00,14.8 km/h,84%,17°,4.0,8.0,70.0,8.5,2.1,183.2, 29 
100,Sao Paulo,09 December 2024,19:00,9.3 km/h,86%,22°,9.7,16.0,21.0,39.0,1.0,572.5, 52 
101,Rotterdam,09 December 2024,23:00,24.1 km/h,86%,5°,5.6,10.2,32.2,5.5,,, 31 
102,Stockholm,09 December 2024,23:00,5.5 km/h,94%,-1°,5.0,8.2,34.7,20.3,,, 28 
103,Singapore,10 December 2024,06:00,7.4 km/h,78%,25°,5.0,13.0,13.0,6.0,4.0,400.0, 28 
104,Bogota,09 December 2024,17:00,18.5 km/h,52%,17°,5.1,20.0,20.3,,,, 28 
105,Madrid,09 December 2024,23:00,29.6 km/h,66%,5°,4.0,8.0,33.0,27.5,2.0,, 22 
106,Tokyo,10 December 2024,07:00,11.1 km/h,58%,5°,5.0,6.0,,37.6,2.6,229.0, 28 
107,Seattle,09 December 2024,14:00,12.9 km/h,83%,8°,5.1,8.7,32.6,31.7,0.3,, 28 
108,Chicago,09 December 2024,16:00,14.8 km/h,48%,10°,4.7,,,,,, 26 
109,Kuching,10 December 2024,06:00,3.7 km/h,96%,24°,4.5,,,,,, 25 
110,Montreal,09 December 2024,17:00,29.6 km/h,77%,-7°,6.0,,14.5,2.0,1.0,, 33 
111,Portland,09 December 2024,14:00,11.1 km/h,79%,9°,4.6,6.9,34.0,12.2,1.3,286.3, 26 
112,San Francisco,09 December 2024,14:00,9.6 km/h,31%,17°,4.5,,60.0,15.6,,343.5, 25 
113,Salt Lake City,09 December 2024,15:00,22.2 km/h,59%,2°,2.7,,56.0,5.3,0.5,0.0, 23 
114,Toronto,09 December 2024,17:00,35.2 km/h,93%,1°,4.0,25.4,29.0,18.8,0.0,, 23 
115,Kobe,10 December 2024,07:00,5.4 km/h,70%,2°,4.0,,,43.2,0.0,458.0, 22 
116,Vancouver,09 December 2024,14:00,9.3 km/h,92%,7°,3.8,,7.7,22.9,0.9,, 21 
117,Copenhagen,09 December 2024,23:00,24.1 km/h,77%,2°,5.5,22.5,49.9,4.8,1.0,0.2, 31 
118,Auckland,10 December 2024,11:00,9.6 km/h,68%,19°,3.7,20.4,,9.2,,, 20 
119,Helsinki,10 December 2024,00:00,22.5 km/h,93%,-2°,3.5,4.8,46.3,8.8,0.3,, 19 
120,Denver,09 December 2024,15:00,8.1 km/h,53%,0°,1.0,19.0,47.0,22.6,2.6,343.5, 19 
121,Melbourne,10 December 2024,09:00,11.1 km/h,63%,17°,3.0,,,,,, 17 
122,Minneapolis,09 December 2024,16:00,27.8 km/h,78%,0°,3.0,9.0,,,,, 17 
123,Brussels,09 December 2024,23:00,16.7 km/h,91%,5°,2.5,5.0,10.0,16.0,,, 14 
124,Canberra,10 December 2024,09:00,3.2 km/h,65%,17°,2.6,13.0,16.0,,,, 14 
125,Kuala Lumpur,10 December 2024,06:00,11.1 km/h,88%,23°,1.0,,,,,, 6 
0,Kolkata,10 December 2024,02:30,7.4 km/h,82%,17°,201.0,157.1,10.5,24.4,6.9,870.0, 276 
1,Dhaka,10 December 2024,03:00,11.1 km/h,88%,19°,168.4,,6.0,,,, 244 
2,Lahore,10 December 2024,03:00,0 km/h,81%,8°,128.8,,,,,, 204 
3,Delhi,10 December 2024,03:30,5.5 km/h,87%,11°,132.0,180.0,9.0,44.7,7.0,905.0, 207 
4,Hanoi,10 December 2024,05:00,2.9 km/h,81%,17°,127.0,166.4,4.4,47.3,,"1,683.8", 202 
5,Ulaanbaatar,10 December 2024,06:00,0 km/h,84%,-20°,68.0,123.5,0.1,57.5,52.0,"2,200.0", 160 
6,Karachi,10 December 2024,03:00,7.4 km/h,30%,11°,64.5,,,,,, 157 
7,Bishkek,10 December 2024,04:00,4.2 km/h,75%,-12°,85.9,0.0,,101.6,,, 172 
8,Kabul,10 December 2024,02:30,2.8 km/h,22%,-1°,57.9,,,,,, 153 
9,Manama,10 December 2024,01:00,1.8 km/h,76%,20°,44.5,,,,,, 123 
10,Kathmandu,10 December 2024,03:45,3.7 km/h,87%,8°,63.4,73.4,30.0,,,, 156 
11,Sarajevo,09 December 2024,23:00,5.5 km/h,100%,3°,61.4,53.0,4.0,35.5,23.0,891.5, 155 
12,Cairo,10 December 2024,00:00,3.7 km/h,63%,16°,50.2,,,,,, 137 
13,Wuhan,10 December 2024,06:00,12.8 km/h,77%,5°,56.0,61.0,11.5,35.0,9.0,600.0, 151 
14,Kuwait City,10 December 2024,01:00,9.6 km/h,58%,17°,49.0,,,,,, 134 
15,Kinshasa,09 December 2024,23:00,0 km/h,78%,28°,78.5,,,,,, 167 
16,Oslo,09 December 2024,23:00,4.9 km/h,90%,-8°,44.0,31.2,18.1,46.4,1.0,0.5, 122 
17,Kampala,10 December 2024,00:00,4.1 km/h,84%,18°,70.0,1.4,48.6,11.9,0.0,, 161 
18,Tehran,10 December 2024,01:30,7.4 km/h,81%,3°,50.5,,,,,, 138 
19,Pristina,09 December 2024,23:00,3.7 km/h,88%,4°,59.6,63.2,6.9,48.0,12.6,"1,550.0", 154 
20,Guangzhou,10 December 2024,06:00,9.2 km/h,65%,16°,42.0,67.0,3.0,63.0,6.0,817.5, 117 
21,Skopje,09 December 2024,23:00,3.7 km/h,93%,5°,53.7,68.3,5.3,18.9,3.4,, 146 
22,Tashkent,10 December 2024,03:00,7.4 km/h,79%,-6°,42.9,,10.0,,,, 119 
23,Mumbai,10 December 2024,03:30,7.4 km/h,33%,24°,43.9,96.1,21.2,14.3,9.9,400.0, 122 
24,Doha,10 December 2024,01:00,3.7 km/h,94%,19°,46.5,,4.0,,,, 128 
25,Bangkok,10 December 2024,05:00,2.4 km/h,65%,24°,39.7,65.7,20.0,58.3,,, 111 
26,Los Angeles,09 December 2024,14:00,1.6 km/h,56%,19°,31.3,0.0,60.0,36.5,,, 92 
27,Baghdad,10 December 2024,01:00,5.5 km/h,66%,10°,32.0,,,,,, 94 
28,Yangon,10 December 2024,04:30,3.7 km/h,88%,24°,36.0,,,,,, 102 
29,Tel Aviv-Yafo,10 December 2024,00:00,1.8 km/h,65%,13°,34.0,63.8,116.8,113.7,7.1,"1,087.8", 97 
30,Hangzhou,10 December 2024,06:00,1.9 km/h,85%,7°,39.5,63.0,11.0,48.5,6.0,500.0, 111 
31,Belgrade,09 December 2024,23:00,5.5 km/h,86%,5°,29.6,43.9,19.2,31.3,11.0,570.0, 89 
32,Accra,09 December 2024,22:00,13 km/h,83%,28°,36.0,,,,,, 102 
33,Chongqing,10 December 2024,06:00,3 km/h,92%,2°,30.0,40.0,31.0,17.5,7.0,500.0, 90 
34,Riyadh,10 December 2024,01:00,22.6 km/h,37%,17°,33.0,,,,,, 96 
35,Chiang Mai,10 December 2024,05:00,3.7 km/h,94%,20°,30.6,46.5,,,,, 91 
36,Dakar,09 December 2024,22:00,11.1 km/h,69%,25°,24.0,4.6,,,,, 79 
37,Bern,09 December 2024,23:00,24.2 km/h,79%,2°,17.4,18.5,31.0,14.0,,, 66 
38,Incheon,10 December 2024,07:00,3.7 km/h,100%,-6°,24.0,38.0,7.2,82.0,10.2,864.5, 79 
39,Almaty,10 December 2024,03:00,7.2 km/h,85%,-11°,32.0,19.7,,113.2,24.2,652.3, 93 
40,Chengdu,10 December 2024,06:00,7.2 km/h,93%,5°,28.0,38.0,38.0,18.0,3.0,400.0, 86 
41,Baku,10 December 2024,02:00,18.5 km/h,70%,6°,22.0,,,,,, 75 
42,Shenzhen,10 December 2024,06:00,7.7 km/h,80%,18°,26.0,48.0,38.0,34.0,7.0,700.0, 82 
43,Dubai,10 December 2024,02:00,7.4 km/h,60%,21°,22.5,26.3,40.0,,,, 76 
44,Seoul,10 December 2024,07:00,1.8 km/h,100%,-6°,24.0,37.0,4.2,74.5,7.3,870.2, 79 
45,Hong Kong,10 December 2024,06:00,14.5 km/h,76%,19°,23.0,35.2,82.4,18.9,2.6,566.1, 77 
46,Istanbul,10 December 2024,01:00,7.4 km/h,95%,11°,20.3,19.2,8.9,73.6,3.5,"1,355.5", 72 
47,Kaohsiung,10 December 2024,06:00,13 km/h,82%,18°,16.0,36.0,22.0,30.1,6.3,360.7, 64 
48,Jerusalem,10 December 2024,00:00,3.2 km/h,58%,12°,13.0,,130.8,61.9,,, 58 
49,Ljubljana,09 December 2024,23:00,1.8 km/h,92%,2°,18.4,22.5,17.6,20.1,,200.2, 68 
50,Medan,10 December 2024,05:00,7.4 km/h,100%,24°,8.0,,,,,, 44 
51,Nairobi,10 December 2024,01:00,11.4 km/h,91%,16°,16.0,8.9,,,,55.9, 64 
52,Beijing,10 December 2024,06:00,10.8 km/h,63%,-4°,14.0,26.0,9.0,45.0,3.0,400.0, 60 
53,Milano,09 December 2024,23:00,5.5 km/h,91%,5°,16.3,51.7,7.8,55.7,4.1,, 64 
54,Shanghai,10 December 2024,06:00,10.8 km/h,62%,9°,17.0,28.0,47.0,38.0,6.0,445.0, 66 
55,Addis Ababa,10 December 2024,01:00,1.7 km/h,48%,11°,17.6,,,,,, 67 
56,Busan,10 December 2024,07:00,1.8 km/h,80%,-1°,17.0,25.0,36.0,33.8,7.9,400.8, 66 
57,Manila,10 December 2024,06:00,3.7 km/h,86%,26°,36.2,,,,,, 103 
58,Budapest,09 December 2024,23:00,5.5 km/h,95%,4°,19.4,26.5,3.0,31.8,8.9,919.0, 70 
59,Vienna,09 December 2024,23:00,13 km/h,91%,2°,15.0,17.0,7.5,17.0,1.0,350.0, 62 
60,Phnom Penh,10 December 2024,05:00,7.4 km/h,100%,25°,13.0,,,,,, 58 
61,Ho Chi Minh City,10 December 2024,05:00,7.4 km/h,75%,24°,20.5,,,,,, 72 
62,Houston,09 December 2024,16:00,11.1 km/h,80%,23°,13.4,60.9,56.0,8.8,0.0,515.3, 59 
63,Krasnoyarsk,10 December 2024,05:00,7.7 km/h,95%,-18°,14.0,,,38.5,6.5,450.0, 60 
64,Zagreb,09 December 2024,23:00,7.4 km/h,93%,2°,15.8,27.1,23.3,29.4,6.7,407.0, 63 
65,Bratislava,09 December 2024,23:00,5.5 km/h,94%,3°,10.9,15.0,7.9,17.0,4.0,0.5, 54 
66,Moscow,10 December 2024,01:00,6.3 km/h,98%,-2°,9.5,,,,,, 52 
67,Lima,09 December 2024,17:00,22.2 km/h,71%,23°,11.8,22.7,5.1,8.4,28.4,143.9, 56 
68,Munich,09 December 2024,23:00,3.2 km/h,95%,0°,11.5,15.0,28.5,13.0,,, 55 
69,Warsaw,09 December 2024,23:00,16.7 km/h,94%,0°,10.9,15.7,25.3,12.1,0.9,187.0, 54 
70,Berlin,09 December 2024,23:00,17.7 km/h,92%,4°,11.0,17.0,27.0,7.0,,0.0, 54 
71,Sofia,10 December 2024,00:00,5.5 km/h,100%,2°,12.6,57.6,3.2,56.8,8.2,0.8, 58 
72,Batam,10 December 2024,05:00,11.1 km/h,78%,26°,9.0,9.1,126.6,47.5,1.2,, 52 
73,Wrocław,09 December 2024,23:00,11.1 km/h,97%,2°,12.4,13.6,16.0,10.4,7.5,357.5, 57 
74,Kyiv,10 December 2024,00:00,1.6 km/h,80%,1°,10.4,7.9,,,,, 53 
75,Washington D.C.,09 December 2024,17:00,20.4 km/h,80%,13°,8.8,14.0,32.0,19.7,,343.5, 49 
76,Kraków,09 December 2024,23:00,14.8 km/h,77%,1°,10.0,12.2,,13.1,2.2,234.5, 53 
77,New York City,09 December 2024,17:00,24.1 km/h,93%,9°,10.4,,18.0,54.6,1.3,318.2, 53 
78,Dublin,09 December 2024,22:00,20.4 km/h,80%,7°,8.8,16.2,30.8,30.2,2.0,, 48 
79,Rome,09 December 2024,23:00,13 km/h,86%,8°,6.9,,5.0,54.0,1.5,1.4, 38 
80,Bucharest,10 December 2024,00:00,14.8 km/h,90%,6°,7.0,9.9,15.9,18.0,6.4,, 39 
81,Detroit,09 December 2024,17:00,18.5 km/h,81%,10°,10.3,,,24.4,2.6,343.5, 53 
82,Johannesburg,10 December 2024,00:00,0 km/h,71%,19°,8.0,63.1,,,,, 55 
83,Lyon,09 December 2024,23:00,16.7 km/h,82%,4°,8.2,11.2,28.8,11.3,9.9,0.2, 46 
84,Jakarta,10 December 2024,05:00,18.5 km/h,79%,27°,8.0,,10.0,,,, 44 
85,Paris,09 December 2024,23:00,25.9 km/h,88%,5°,8.0,11.1,9.9,24.3,,, 44 
86,Amsterdam,09 December 2024,23:00,29.6 km/h,76%,5°,5.0,7.4,38.9,5.7,,323.7, 28 
87,London,09 December 2024,22:00,25.9 km/h,80%,7°,9.0,15.0,49.6,15.0,,, 50 
88,Birmingham,09 December 2024,22:00,20.4 km/h,90%,5°,5.9,10.5,55.2,10.5,0.8,, 32 
89,Santiago,09 December 2024,19:00,25.9 km/h,26%,27°,4.5,51.0,84.0,15.0,6.9,274.8, 47 
90,Prague,09 December 2024,23:00,16.7 km/h,91%,3°,6.0,10.1,2.3,17.6,4.3,453.2, 33 
91,Sydney,10 December 2024,09:00,20.4 km/h,78%,22°,7.4,22.2,0.0,0.0,0.0,206.2, 41 
92,Portland,09 December 2024,14:00,11.1 km/h,79%,9°,4.6,6.9,34.0,12.2,1.3,286.3, 26 
93,Lisbon,09 December 2024,22:00,16.7 km/h,75%,9°,6.7,6.9,59.0,21.0,3.0,189.0, 37 
94,Algiers,09 December 2024,23:00,13 km/h,58%,10°,6.5,,,,,, 36 
95,Auckland,10 December 2024,11:00,9.6 km/h,68%,19°,3.7,20.4,,9.2,,, 20 
96,Osaka,10 December 2024,07:00,3.7 km/h,87%,2°,6.0,10.5,,42.3,7.9,343.5, 33 
97,Barcelona,09 December 2024,23:00,11.1 km/h,63%,9°,9.0,15.0,19.5,44.0,1.0,500.0, 50 
98,Sao Paulo,09 December 2024,19:00,9.3 km/h,86%,22°,9.7,16.0,21.0,39.0,1.0,572.5, 52 
99,Stockholm,09 December 2024,23:00,5.5 km/h,94%,-1°,5.0,8.2,34.7,20.3,,, 28 
100,Taipei,10 December 2024,06:00,14.8 km/h,84%,17°,4.0,8.0,70.0,8.5,2.1,183.2, 29 
101,Athens,10 December 2024,00:00,46.3 km/h,82%,17°,3.9,34.0,23.0,22.0,9.0,, 31 
102,Singapore,10 December 2024,06:00,7.4 km/h,78%,25°,5.0,13.0,13.0,6.0,4.0,400.0, 28 
103,Bogota,09 December 2024,17:00,18.5 km/h,52%,17°,5.1,20.0,20.3,,,, 28 
104,Kyoto,10 December 2024,07:00,4.5 km/h,93%,3°,6.0,6.0,,20.7,0.0,343.5, 33 
105,Madrid,09 December 2024,23:00,29.6 km/h,66%,5°,4.0,8.0,33.0,27.5,2.0,, 22 
106,Chicago,09 December 2024,16:00,14.8 km/h,48%,10°,4.7,,,,,, 26 
107,Seattle,09 December 2024,14:00,12.9 km/h,83%,8°,5.1,8.7,32.6,31.7,0.3,, 28 
108,Montreal,09 December 2024,17:00,29.6 km/h,77%,-7°,6.0,,14.5,2.0,1.0,, 33 
109,San Francisco,09 December 2024,14:00,9.6 km/h,31%,17°,4.5,,60.0,15.6,,343.5, 25 
110,Salt Lake City,09 December 2024,15:00,22.2 km/h,59%,2°,2.7,,56.0,5.3,0.5,0.0, 23 
111,Kuching,10 December 2024,06:00,3.7 km/h,96%,24°,4.5,,,,,, 25 
112,Toronto,09 December 2024,17:00,35.2 km/h,93%,1°,4.0,25.4,29.0,18.8,0.0,, 23 
113,Tokyo,10 December 2024,07:00,11.1 km/h,58%,5°,5.0,6.0,,37.6,2.6,229.0, 28 
114,Copenhagen,09 December 2024,23:00,24.1 km/h,77%,2°,5.5,22.5,49.9,4.8,1.0,0.2, 31 
115,Helsinki,10 December 2024,00:00,22.5 km/h,93%,-2°,3.5,4.8,46.3,8.8,0.3,, 19 
116,Vancouver,09 December 2024,14:00,9.3 km/h,92%,7°,3.8,,7.7,22.9,0.9,, 21 
117,Kobe,10 December 2024,07:00,5.4 km/h,70%,2°,4.0,,,43.2,0.0,458.0, 22 
118,Rotterdam,09 December 2024,23:00,24.1 km/h,86%,5°,5.6,10.2,32.2,5.5,,, 31 
119,Denver,09 December 2024,15:00,8.1 km/h,53%,0°,1.0,19.0,47.0,22.6,2.6,343.5, 19 
120,Melbourne,10 December 2024,09:00,11.1 km/h,63%,17°,3.0,,,,,, 17 
121,Canberra,10 December 2024,09:00,3.2 km/h,65%,17°,2.6,13.0,16.0,,,, 14 
122,Minneapolis,09 December 2024,16:00,27.8 km/h,78%,0°,3.0,9.0,,,,, 17 
123,Kuala Lumpur,10 December 2024,06:00,11.1 km/h,88%,23°,1.0,,,,,, 6 
124,Brussels,09 December 2024,23:00,16.7 km/h,91%,5°,2.5,5.0,10.0,16.0,,, 14 
0,Dhaka,10 December 2024,04:00,7.4 km/h,88%,17°,147.1,,6.0,,,, 222 
1,Lahore,10 December 2024,03:00,0 km/h,81%,8°,128.8,,,,,, 204 
2,Hanoi,10 December 2024,05:00,2.9 km/h,81%,17°,125.0,159.4,4.1,46.1,,"1,298.8", 200 
3,Delhi,10 December 2024,03:30,5.5 km/h,87%,11°,123.0,181.7,9.6,46.4,6.9,900.0, 198 
4,Kolkata,10 December 2024,03:30,13 km/h,82%,17°,90.0,174.1,13.6,25.0,8.0,850.0, 175 
5,Bishkek,10 December 2024,04:00,4.2 km/h,75%,-12°,85.9,0.0,,101.6,,, 172 
6,Kinshasa,09 December 2024,23:00,0 km/h,78%,28°,78.5,,,,,, 167 
7,Kampala,10 December 2024,00:00,4.1 km/h,84%,18°,70.0,1.4,48.6,11.9,0.0,, 161 
8,Karachi,10 December 2024,03:00,7.4 km/h,30%,11°,64.5,,,,,, 157 
9,Sarajevo,09 December 2024,23:00,5.5 km/h,100%,3°,61.4,53.0,4.0,35.5,23.0,891.5, 155 
10,Pristina,09 December 2024,23:00,3.7 km/h,88%,4°,59.6,63.2,6.9,48.0,12.6,"1,550.0", 154 
11,Kabul,10 December 2024,02:30,2.8 km/h,22%,-1°,57.9,,,,,, 153 
12,Kathmandu,10 December 2024,03:45,3.7 km/h,87%,8°,58.4,73.4,44.0,,,, 153 
13,Ulaanbaatar,10 December 2024,06:00,0 km/h,84%,-20°,59.0,106.0,0.1,59.8,50.0,"1,900.0", 153 
14,Wuhan,10 December 2024,06:00,12.8 km/h,77%,5°,56.0,61.0,11.5,35.0,9.0,600.0, 151 
15,Skopje,09 December 2024,23:00,3.7 km/h,93%,5°,53.7,68.3,5.3,18.9,3.4,, 146 
16,Tehran,10 December 2024,01:30,7.4 km/h,81%,3°,50.5,,,,,, 138 
17,Cairo,10 December 2024,00:00,3.7 km/h,63%,16°,50.2,,,,,, 137 
18,Kuwait City,10 December 2024,01:00,9.6 km/h,58%,17°,49.0,,,,,, 134 
19,Doha,10 December 2024,01:00,3.7 km/h,94%,19°,46.5,,4.0,,,, 128 
20,Manama,10 December 2024,01:00,1.8 km/h,76%,20°,44.5,,,,,, 123 
21,Tashkent,10 December 2024,03:00,7.4 km/h,79%,-6°,42.9,,10.0,,,, 119 
22,Mumbai,10 December 2024,03:30,7.4 km/h,33%,24°,42.6,90.6,19.0,14.8,10.2,400.0, 118 
23,Hangzhou,10 December 2024,06:00,1.9 km/h,85%,7°,39.5,63.0,11.0,48.5,6.0,500.0, 111 
24,Bangkok,10 December 2024,05:00,2.4 km/h,65%,24°,39.7,65.7,20.0,58.3,,, 111 
25,Oslo,09 December 2024,23:00,4.9 km/h,90%,-8°,38.0,37.2,18.3,34.4,0.8,0.4, 107 
26,Manila,10 December 2024,06:00,3.7 km/h,86%,26°,36.2,,,,,, 103 
27,Yangon,10 December 2024,04:30,3.7 km/h,88%,24°,36.0,,,,,, 102 
28,Accra,09 December 2024,22:00,13 km/h,83%,28°,36.0,,,,,, 102 
